400     #       NT      (number of triangles) 
1       1       5       4       1
2       4       8       7       1
3       7       11      10      1
4       10      14      13      1
5       13      17      16      1
6       16      20      19      1
7       19      23      22      1
8       22      26      25      1
9       25      29      28      1
10      28      32      31      1
11      31      35      34      1
12      34      38      37      1
13      37      41      40      1
14      40      44      43      1
15      43      47      46      1
16      46      50      49      1
17      49      53      52      1
18      52      56      55      1
19      55      59      58      1
20      58      62      61      1
21      61      65      64      1
22      64      68      67      1
23      67      71      70      1
24      70      74      73      1
25      73      77      76      1
26      76      80      79      1
27      79      83      82      1
28      82      86      85      1
29      85      89      88      1
30      88      92      91      1
31      91      95      94      1
32      94      98      97      1
33      97      101     100     1
34      100     104     103     1
35      103     107     106     1
36      106     110     109     1
37      109     113     112     1
38      112     116     115     1
39      115     119     118     1
40      118     122     121     1
41      121     125     124     1
42      124     128     127     1
43      127     131     130     1
44      130     134     133     1
45      133     137     136     1
46      136     140     139     1
47      139     143     142     1
48      142     146     145     1
49      145     149     148     1
50      148     152     151     1
51      151     155     154     1
52      154     158     157     1
53      157     161     160     1
54      160     164     163     1
55      163     167     166     1
56      166     170     169     1
57      169     173     172     1
58      172     176     175     1
59      175     179     178     1
60      178     182     181     1
61      181     185     184     1
62      184     188     187     1
63      187     191     190     1
64      190     194     193     1
65      193     197     196     1
66      196     200     199     1
67      199     203     202     1
68      202     206     205     1
69      205     209     208     1
70      208     212     211     1
71      211     215     214     1
72      214     218     217     1
73      217     221     220     1
74      220     224     223     1
75      223     227     226     1
76      226     230     229     1
77      229     233     232     1
78      232     236     235     1
79      235     239     238     1
80      238     242     241     1
81      241     245     244     1
82      244     248     247     1
83      247     251     250     1
84      250     254     253     1
85      253     257     256     1
86      256     260     259     1
87      259     263     262     1
88      262     266     265     1
89      265     269     268     1
90      268     272     271     1
91      271     275     274     1
92      274     278     277     1
93      277     281     280     1
94      280     284     283     1
95      283     287     286     1
96      286     290     289     1
97      289     293     292     1
98      292     296     295     1
99      295     299     298     1
100     298     302     301     1
101     1       2       5       1
102     4       5       8       1
103     7       8       11      1
104     10      11      14      1
105     13      14      17      1
106     16      17      20      1
107     19      20      23      1
108     22      23      26      1
109     25      26      29      1
110     28      29      32      1
111     31      32      35      1
112     34      35      38      1
113     37      38      41      1
114     40      41      44      1
115     43      44      47      1
116     46      47      50      1
117     49      50      53      1
118     52      53      56      1
119     55      56      59      1
120     58      59      62      1
121     61      62      65      1
122     64      65      68      1
123     67      68      71      1
124     70      71      74      1
125     73      74      77      1
126     76      77      80      1
127     79      80      83      1
128     82      83      86      1
129     85      86      89      1
130     88      89      92      1
131     91      92      95      1
132     94      95      98      1
133     97      98      101     1
134     100     101     104     1
135     103     104     107     1
136     106     107     110     1
137     109     110     113     1
138     112     113     116     1
139     115     116     119     1
140     118     119     122     1
141     121     122     125     1
142     124     125     128     1
143     127     128     131     1
144     130     131     134     1
145     133     134     137     1
146     136     137     140     1
147     139     140     143     1
148     142     143     146     1
149     145     146     149     1
150     148     149     152     1
151     151     152     155     1
152     154     155     158     1
153     157     158     161     1
154     160     161     164     1
155     163     164     167     1
156     166     167     170     1
157     169     170     173     1
158     172     173     176     1
159     175     176     179     1
160     178     179     182     1
161     181     182     185     1
162     184     185     188     1
163     187     188     191     1
164     190     191     194     1
165     193     194     197     1
166     196     197     200     1
167     199     200     203     1
168     202     203     206     1
169     205     206     209     1
170     208     209     212     1
171     211     212     215     1
172     214     215     218     1
173     217     218     221     1
174     220     221     224     1
175     223     224     227     1
176     226     227     230     1
177     229     230     233     1
178     232     233     236     1
179     235     236     239     1
180     238     239     242     1
181     241     242     245     1
182     244     245     248     1
183     247     248     251     1
184     250     251     254     1
185     253     254     257     1
186     256     257     260     1
187     259     260     263     1
188     262     263     266     1
189     265     266     269     1
190     268     269     272     1
191     271     272     275     1
192     274     275     278     1
193     277     278     281     1
194     280     281     284     1
195     283     284     287     1
196     286     287     290     1
197     289     290     293     1
198     292     293     296     1
199     295     296     299     1
200     298     299     302     1
201     2       6       5       1
202     5       9       8       1
203     8       12      11      1
204     11      15      14      1
205     14      18      17      1
206     17      21      20      1
207     20      24      23      1
208     23      27      26      1
209     26      30      29      1
210     29      33      32      1
211     32      36      35      1
212     35      39      38      1
213     38      42      41      1
214     41      45      44      1
215     44      48      47      1
216     47      51      50      1
217     50      54      53      1
218     53      57      56      1
219     56      60      59      1
220     59      63      62      1
221     62      66      65      1
222     65      69      68      1
223     68      72      71      1
224     71      75      74      1
225     74      78      77      1
226     77      81      80      1
227     80      84      83      1
228     83      87      86      1
229     86      90      89      1
230     89      93      92      1
231     92      96      95      1
232     95      99      98      1
233     98      102     101     1
234     101     105     104     1
235     104     108     107     1
236     107     111     110     1
