        1       23      22         
        22      44      43         
        43      65      64         
        64      86      85         
        85      107     106        
        106     128     127        
        127     149     148        
        148     170     169        
        169     191     190        
        190     212     211        
        211     233     232        
        232     254     253        
        253     275     274        
        274     296     295        
        295     317     316        
        316     338     337        
        337     359     358        
        358     380     379        
        379     401     400        
        400     422     421        
        1       2       23         
        22      23      44         
        43      44      65         
        64      65      86         
        85      86      107        
        106     107     128        
        127     128     149        
        148     149     170        
        169     170     191        
        190     191     212        
        211     212     233        
        232     233     254        
        253     254     275        
        274     275     296        
        295     296     317        
        316     317     338        
        337     338     359        
        358     359     380        
        379     380     401        
        400     401     422        
        2       24      23         
        23      45      44         
        44      66      65         
        65      87      86         
        86      108     107        
        107     129     128        
        128     150     149        
        149     171     170        
        170     192     191        
        191     213     212        
        212     234     233        
        233     255     254        
        254     276     275        
        275     297     296        
        296     318     317        
        317     339     338        
        338     360     359        
        359     381     380        
        380     402     401        
        401     423     422        
        2       3       24         
        23      24      45         
        44      45      66         
        65      66      87         
        86      87      108        
        107     108     129        
        128     129     150        
        149     150     171        
        170     171     192        
        191     192     213        
        212     213     234        
        233     234     255        
        254     255     276        
        275     276     297        
        296     297     318        
        317     318     339        
        338     339     360        
        359     360     381        
        380     381     402        
        401     402     423        
        3       25      24         
        24      46      45         
        45      67      66         
        66      88      87         
        87      109     108        
        108     130     129        
        129     151     150        
        150     172     171        
        171     193     192        
        192     214     213        
        213     235     234        
        234     256     255        
        255     277     276        
        276     298     297        
        297     319     318        
        318     340     339        
        339     361     360        
        360     382     381        
        381     403     402        
        402     424     423        
        3       4       25         
        24      25      46         
        45      46      67         
        66      67      88         
        87      88      109        
        108     109     130        
        129     130     151        
        150     151     172        
        171     172     193        
        192     193     214        
        213     214     235        
        234     235     256        
        255     256     277        
        276     277     298        
        297     298     319        
        318     319     340        
        339     340     361        
        360     361     382        
        381     382     403        
        402     403     424        
        4       26      25         
        25      47      46         
        46      68      67         
        67      89      88         
        88      110     109        
        109     131     130        
        130     152     151        
        151     173     172        
        172     194     193        
        193     215     214        
        214     236     235        
        235     257     256        
        256     278     277        
        277     299     298        
        298     320     319        
        319     341     340        
        340     362     361        
        361     383     382        
        382     404     403        
        403     425     424        
        4       5       26         
        25      26      47         
        46      47      68         
        67      68      89         
        88      89      110        
        109     110     131        
        130     131     152        
        151     152     173        
        172     173     194        
        193     194     215        
        214     215     236        
        235     236     257        
        256     257     278        
        277     278     299        
        298     299     320        
        319     320     341        
        340     341     362        
        361     362     383        
        382     383     404        
        403     404     425        
        5       27      26         
        26      48      47         
        47      69      68         
