303     # N (number of nodes)
1       0.00E+00        1.00E-01
2       0.00E+00        5.00E-02
3       0.00E+00        0.00E+00
4       1.00E-02        1.00E-01
5       1.00E-02        5.00E-02
6       1.00E-02        0.00E+00
7       2.00E-02        1.00E-01
8       2.00E-02        5.00E-02
9       2.00E-02        0.00E+00
10      3.00E-02        1.00E-01
11      3.00E-02        5.00E-02
12      3.00E-02        0.00E+00
13      4.00E-02        1.00E-01
14      4.00E-02        5.00E-02
15      4.00E-02        0.00E+00
16      5.00E-02        1.00E-01
17      5.00E-02        5.00E-02
18      5.00E-02        0.00E+00
19      6.00E-02        1.00E-01
20      6.00E-02        5.00E-02
21      6.00E-02        0.00E+00
22      7.00E-02        1.00E-01
23      7.00E-02        5.00E-02
24      7.00E-02        0.00E+00
25      8.00E-02        1.00E-01
26      8.00E-02        5.00E-02
27      8.00E-02        0.00E+00
28      9.00E-02        1.00E-01
29      9.00E-02        5.00E-02
30      9.00E-02        0.00E+00
31      1.00E-01        1.00E-01
32      1.00E-01        5.00E-02
33      1.00E-01        0.00E+00
34      1.10E-01        1.00E-01
35      1.10E-01        5.00E-02
36      1.10E-01        0.00E+00
37      1.20E-01        1.00E-01
38      1.20E-01        5.00E-02
39      1.20E-01        0.00E+00
40      1.30E-01        1.00E-01
41      1.30E-01        5.00E-02
42      1.30E-01        0.00E+00
43      1.40E-01        1.00E-01
44      1.40E-01        5.00E-02
45      1.40E-01        0.00E+00
46      1.50E-01        1.00E-01
47      1.50E-01        5.00E-02
48      1.50E-01        0.00E+00
49      1.60E-01        1.00E-01
50      1.60E-01        5.00E-02
51      1.60E-01        0.00E+00
52      1.70E-01        1.00E-01
53      1.70E-01        5.00E-02
54      1.70E-01        0.00E+00
55      1.80E-01        1.00E-01
56      1.80E-01        5.00E-02
57      1.80E-01        0.00E+00
58      1.90E-01        1.00E-01
59      1.90E-01        5.00E-02
60      1.90E-01        0.00E+00
61      2.00E-01        1.00E-01
62      2.00E-01        5.00E-02
63      2.00E-01        0.00E+00
64      2.10E-01        1.00E-01
65      2.10E-01        5.00E-02
66      2.10E-01        0.00E+00
67      2.20E-01        1.00E-01
68      2.20E-01        5.00E-02
69      2.20E-01        0.00E+00
70      2.30E-01        1.00E-01
71      2.30E-01        5.00E-02
72      2.30E-01        0.00E+00
73      2.40E-01        1.00E-01
74      2.40E-01        5.00E-02
75      2.40E-01        0.00E+00
76      2.50E-01        1.00E-01
77      2.50E-01        5.00E-02
78      2.50E-01        0.00E+00
79      2.60E-01        1.00E-01
80      2.60E-01        5.00E-02
81      2.60E-01        0.00E+00
82      2.70E-01        1.00E-01
83      2.70E-01        5.00E-02
84      2.70E-01        0.00E+00
85      2.80E-01        1.00E-01
86      2.80E-01        5.00E-02
87      2.80E-01        0.00E+00
88      2.90E-01        1.00E-01
89      2.90E-01        5.00E-02
90      2.90E-01        0.00E+00
91      3.00E-01        1.00E-01
92      3.00E-01        5.00E-02
93      3.00E-01        0.00E+00
94      3.10E-01        1.00E-01
95      3.10E-01        5.00E-02
96      3.10E-01        0.00E+00
97      3.20E-01        1.00E-01
98      3.20E-01        5.00E-02
99      3.20E-01        0.00E+00
100     3.30E-01        1.00E-01
101     3.30E-01        5.00E-02
102     3.30E-01        0.00E+00
103     3.40E-01        1.00E-01
104     3.40E-01        5.00E-02
105     3.40E-01        0.00E+00
106     3.50E-01        1.00E-01
107     3.50E-01        5.00E-02
108     3.50E-01        0.00E+00
109     3.60E-01        1.00E-01
110     3.60E-01        5.00E-02
111     3.60E-01        0.00E+00
112     3.70E-01        1.00E-01
113     3.70E-01        5.00E-02
114     3.70E-01        0.00E+00
115     3.80E-01        1.00E-01
116     3.80E-01        5.00E-02
117     3.80E-01        0.00E+00
118     3.90E-01        1.00E-01
119     3.90E-01        5.00E-02
120     3.90E-01        0.00E+00
121     4.00E-01        1.00E-01
122     4.00E-01        5.00E-02
123     4.00E-01        0.00E+00
124     4.10E-01        1.00E-01
125     4.10E-01        5.00E-02
126     4.10E-01        0.00E+00
127     4.20E-01        1.00E-01
128     4.20E-01        5.00E-02
129     4.20E-01        0.00E+00
130     4.30E-01        1.00E-01
131     4.30E-01        5.00E-02
132     4.30E-01        0.00E+00
133     4.40E-01        1.00E-01
134     4.40E-01        5.00E-02
135     4.40E-01        0.00E+00
136     4.50E-01        1.00E-01
137     4.50E-01        5.00E-02
138     4.50E-01        0.00E+00
139     4.60E-01        1.00E-01
140     4.60E-01        5.00E-02
141     4.60E-01        0.00E+00
142     4.70E-01        1.00E-01
143     4.70E-01        5.00E-02
144     4.70E-01        0.00E+00
145     4.80E-01        1.00E-01
146     4.80E-01        5.00E-02
147     4.80E-01        0.00E+00
148     4.90E-01        1.00E-01
149     4.90E-01        5.00E-02
150     4.90E-01        0.00E+00
151     5.00E-01        1.00E-01
152     5.00E-01        5.00E-02
153     5.00E-01        0.00E+00
154     5.10E-01        1.00E-01
155     5.10E-01        5.00E-02
156     5.10E-01        0.00E+00
157     5.20E-01        1.00E-01
158     5.20E-01        5.00E-02
159     5.20E-01        0.00E+00
160     5.30E-01        1.00E-01
161     5.30E-01        5.00E-02
162     5.30E-01        0.00E+00
163     5.40E-01        1.00E-01
164     5.40E-01        5.00E-02
165     5.40E-01        0.00E+00
166     5.50E-01        1.00E-01
167     5.50E-01        5.00E-02
168     5.50E-01        0.00E+00
169     5.60E-01        1.00E-01
170     5.60E-01        5.00E-02
171     5.60E-01        0.00E+00
172     5.70E-01        1.00E-01
173     5.70E-01        5.00E-02
174     5.70E-01        0.00E+00
175     5.80E-01        1.00E-01
176     5.80E-01        5.00E-02
177     5.80E-01        0.00E+00
178     5.90E-01        1.00E-01
179     5.90E-01        5.00E-02
180     5.90E-01        0.00E+00
181     6.00E-01        1.00E-01
182     6.00E-01        5.00E-02
183     6.00E-01        0.00E+00
184     6.10E-01        1.00E-01
185     6.10E-01        5.00E-02
186     6.10E-01        0.00E+00
187     6.20E-01        1.00E-01
188     6.20E-01        5.00E-02
189     6.20E-01        0.00E+00
190     6.30E-01        1.00E-01
191     6.30E-01        5.00E-02
192     6.30E-01        0.00E+00
193     6.40E-01        1.00E-01
194     6.40E-01        5.00E-02
195     6.40E-01        0.00E+00
196     6.50E-01        1.00E-01
197     6.50E-01        5.00E-02
198     6.50E-01        0.00E+00
199     6.60E-01        1.00E-01
200     6.60E-01        5.00E-02
201     6.60E-01        0.00E+00
202     6.70E-01        1.00E-01
203     6.70E-01        5.00E-02
204     6.70E-01        0.00E+00
205     6.80E-01        1.00E-01
206     6.80E-01        5.00E-02
207     6.80E-01        0.00E+00
208     6.90E-01        1.00E-01
209     6.90E-01        5.00E-02
210     6.90E-01        0.00E+00
211     7.00E-01        1.00E-01
212     7.00E-01        5.00E-02
213     7.00E-01        0.00E+00
214     7.10E-01        1.00E-01
215     7.10E-01        5.00E-02
216     7.10E-01        0.00E+00
217     7.20E-01        1.00E-01
218     7.20E-01        5.00E-02
219     7.20E-01        0.00E+00
220     7.30E-01        1.00E-01
221     7.30E-01        5.00E-02
222     7.30E-01        0.00E+00
223     7.40E-01        1.00E-01
224     7.40E-01        5.00E-02
225     7.40E-01        0.00E+00
226     7.50E-01        1.00E-01
227     7.50E-01        5.00E-02
228     7.50E-01        0.00E+00
229     7.60E-01        1.00E-01
230     7.60E-01        5.00E-02
231     7.60E-01        0.00E+00
232     7.70E-01        1.00E-01
233     7.70E-01        5.00E-02
234     7.70E-01        0.00E+00
235     7.80E-01        1.00E-01
236     7.80E-01        5.00E-02
237     7.80E-01        0.00E+00
238     7.90E-01        1.00E-01
239     7.90E-01        5.00E-02
240     7.90E-01        0.00E+00
241     8.00E-01        1.00E-01
242     8.00E-01        5.00E-02
243     8.00E-01        0.00E+00
244     8.10E-01        1.00E-01
245     8.10E-01        5.00E-02
246     8.10E-01        0.00E+00
247     8.20E-01        1.00E-01
248     8.20E-01        5.00E-02
249     8.20E-01        0.00E+00
250     8.30E-01        1.00E-01
251     8.30E-01        5.00E-02
252     8.30E-01        0.00E+00
253     8.40E-01        1.00E-01
254     8.40E-01        5.00E-02
255     8.40E-01        0.00E+00
256     8.50E-01        1.00E-01
257     8.50E-01        5.00E-02
258     8.50E-01        0.00E+00
